[2017-10-21 11:42:18,959] [DEBUG] [PRODUCER-qiyi]page:9:crawling finished.
[2017-10-21 11:42:18,960] [INFO] [PRODUCER-qiyi]采集次数:180,新增入库:14条,新增加播放组:2条,更新播放组:0条。
[2017-10-21 11:42:18,960] [DEBUG] [PRODUCER-qiyi]page:10:crawling...http://api.2m.vc/caij/inc/qiyi.php?ac=videolist&pg=10&h=
[2017-10-21 11:42:19,328] [WARNING] [CONSUMER-181][爱情片]爱•季忆...未绑定分类，跳过。
[2017-10-21 11:42:19,329] [WARNING] [CONSUMER-182][爱情片]颐和园路五号...未绑定分类，跳过。
[2017-10-21 11:42:19,331] [WARNING] [CONSUMER-183][国产剧]昨日英雄...未绑定分类，跳过。
[2017-10-21 11:42:19,332] [WARNING] [CONSUMER-184][国产剧]人生有梦...未绑定分类，跳过。
[2017-10-21 11:42:19,334] [WARNING] [CONSUMER-185][国产剧]心网...未绑定分类，跳过。
[2017-10-21 11:42:19,335] [WARNING] [CONSUMER-186][国产剧]霹雳彩虹...未绑定分类，跳过。
[2017-10-21 11:42:19,335] [WARNING] [CONSUMER-187][国产剧]大汉巾帼...未绑定分类，跳过。
[2017-10-21 11:42:19,336] [WARNING] [CONSUMER-188][喜剧片]感觉...未绑定分类，跳过。
[2017-10-21 11:42:19,338] [WARNING] [CONSUMER-189][喜剧片]小丑大杂烩...未绑定分类，跳过。
[2017-10-21 11:42:19,339] [WARNING] [CONSUMER-190][国产剧]爱在有情天...未绑定分类，跳过。
[2017-10-21 11:42:19,341] [WARNING] [CONSUMER-191][爱情片]怦然心动...未绑定分类，跳过。
[2017-10-21 11:42:19,342] [WARNING] [CONSUMER-192][国产剧]双响炮...未绑定分类，跳过。
[2017-10-21 11:42:19,344] [WARNING] [CONSUMER-193][国产剧]银杏飘落...未绑定分类，跳过。
[2017-10-21 11:42:19,345] [WARNING] [CONSUMER-194][国产剧]真爱一世情...未绑定分类，跳过。
[2017-10-21 11:42:19,345] [WARNING] [CONSUMER-195][国产剧]愤怒的蝴蝶...未绑定分类，跳过。
[2017-10-21 11:42:19,348] [WARNING] [CONSUMER-196][国产剧]不谈爱情...未绑定分类，跳过。
[2017-10-21 11:42:19,348] [WARNING] [CONSUMER-197][国产剧]女人在家...未绑定分类，跳过。
[2017-10-21 11:42:19,351] [WARNING] [CONSUMER-198][国产剧]风流才子纪晓岚...未绑定分类，跳过。
[2017-10-21 11:42:19,351] [WARNING] [CONSUMER-199][国产剧]红绒花...未绑定分类，跳过。
[2017-10-21 11:42:19,354] [WARNING] [CONSUMER-200][国产剧]第一种危机...未绑定分类，跳过。
[2017-10-21 11:42:19,355] [DEBUG] [PRODUCER-qiyi]page:10:crawling finished.
[2017-10-21 11:42:19,355] [INFO] [PRODUCER-qiyi]采集次数:200,新增入库:14条,新增加播放组:2条,更新播放组:0条。
[2017-10-21 11:42:19,357] [DEBUG] [PRODUCER-qiyi]page:11:crawling...http://api.2m.vc/caij/inc/qiyi.php?ac=videolist&pg=11&h=
[2017-10-21 11:42:19,724] [WARNING] [CONSUMER-201][国产剧]爱的弯道...未绑定分类，跳过。
[2017-10-21 11:42:19,726] [WARNING] [CONSUMER-202][国产剧]渴望激情...未绑定分类，跳过。
[2017-10-21 11:42:19,727] [WARNING] [CONSUMER-203][国产剧]深度诱惑...未绑定分类，跳过。
[2017-10-21 11:42:19,729] [WARNING] [CONSUMER-204][国产剧]温柔陷阱...未绑定分类，跳过。
[2017-10-21 11:42:19,730] [WARNING] [CONSUMER-205][国产剧]今冬不言情...未绑定分类，跳过。
[2017-10-21 11:42:19,732] [WARNING] [CONSUMER-206][国产剧]阳光丽人...未绑定分类，跳过。
[2017-10-21 11:42:19,733] [WARNING] [CONSUMER-207][国产剧]年年岁岁年年...未绑定分类，跳过。
[2017-10-21 11:42:19,733] [WARNING] [CONSUMER-208][国产剧]爱在阳光灿烂时...未绑定分类，跳过。
[2017-10-21 11:42:19,736] [WARNING] [CONSUMER-209][国产剧]不能没有你...未绑定分类，跳过。
[2017-10-21 11:42:19,736] [WARNING] [CONSUMER-210][国产剧]巴哥正传...未绑定分类，跳过。
